 id  |         list          |                           description                           
-----+-----------------------+-----------------------------------------------------------------
   1 | Highlights            | Highlights
  31 | mol_CF4               | CF4 (Tetrafluoromethane)
  47 | mol_CH2FCF3           | CH2FCF3 / HFC-134a (1,1,1,2-Tetrafluoroethane)
  24 | mol_CH3CClF2          | CH3CClF2 / HCFC-142b (1-Chloro-1,1-difluoroethane)
  32 | mol_CH3Cl             | CH3Cl (Chloromethane)
  52 | mol_CH3COOONO2        | CH3C(O)OONO2 / PAN (Perxyacetyl nitrate)
  68 | mol_CH3D              | CH3D
  35 | mol_OCS               | OCS (Carbonyl sulfide)
  93 | mol_OCS_val           | OCS (Carbonyl sulfide) validation
  73 | mol_O13CO             | O13CO
 102 | mol_O13CO_val         | O13CO validation
   5 | class_ACEbook         | ACE at 10: Solar Occultation Anthology
  46 | mol_C2H3Cl2F          | C2H3Cl2F / HCFC-141b (1,1-Dichloro-1-fluoroethane)
 103 | mol_C2H3Cl2F_val      | C2H3Cl2F / HCFC-141b (1,1-Dichloro-1-fluoroethane) validation
  51 | mol_C2H4              | C2H4 (Ethylene)
   8 | class_SolarAtlas      | Solar Atlas Articles
 104 | mol_C2H4_val          | C2H4 (Ethylene) validation
  11 | mol_CH4               | CH4 (Methane)
  44 | mol_CHClF2            | CHClF2 / HCFC-22 (Chlorodifluoromethane)
  48 | mol_CHF3              | CHF3 / HFC-23 (Fluoroform)
  63 | mol_H217O             | H217O
   7 | class_ACPspec         | Atmospheric Chemistry and Physics: ACE Validation Special Issue
   6 | class_GRLspec         | Geophysical Research Letters: ACE Special Issue
   2 | class_MissionOverview | Mission Overview Articles
  49 | mol_ClO               | ClO (Chlorine monoxide)
  71 | mol_H218O             | H218O
  69 | mol_OC34S             | OC34S
  94 | mol_OC34S_val         | OC34S validation
  74 | mol_OC18O             | OC18O
  95 | mol_OC18O_val         | OC18O validation
  55 | mol_OC17O             | OC17O
  33 | mol_C2H6              | C2H6 (Ethane)
