"Type","TypeDesc","ErrorCode","Filename","LineNumber","DateTime","ComputerName","UserName","Message"
3,"Default",0,"iaguipluginsiteimpl.hpp",50,11/17/2017 15:57:16,"ACEDESK3","sjones","QualNet Interface:  Unable to find registry information or the QUALNET_HOME environment variable for the QualNet install."
1,"Default",0,"iaguipluginsiteimpl.hpp",50,11/17/2017 15:57:16,"ACEDESK3","sjones","QualNet Interface:  Loading QualNet UI xml files from ""C:\Program Files\AGI\STK 11\STK-QualNet Interface\QualNetUI\gui\settings""."
3,"Default",0,"iaguipluginsiteimpl.hpp",50,11/17/2017 15:57:17,"ACEDESK3","sjones","QualNet Interface:  The executable (qualnet.exe) could not be found in the install location.  Make sure there is a valid install of QualNet on the current machine."
1,"Default",0,"",0,11/17/2017 15:57:22,"ACEDESK3","sjones","Version 11.3.0 of STK is now available online."
1,"MsgWnd",1,"",0,11/17/2017 15:57:24,"ACEDESK3","sjones","Shaders not supported by current video driver.  Sun lighting and some imagery types are not supported for all map projections."
1,"MsgWnd",1,"",0,11/17/2017 15:57:24,"ACEDESK3","sjones","Frame buffer objects not supported by current video driver.  Imagery on perspective and orthographic projections are not supported."
4,"Default",0,"caggx3dterrainmgr.cpp",348,11/17/2017 15:57:24,"ACEDESK3","sjones","Full globe rendering requires OpenGL version 1.2 or greater; current version is 1.1.0; upgrade graphics card driver or card; only a single base texture will be rendered"
4,"Default",0,"caggx3dterrainmgr.cpp",362,11/17/2017 15:57:24,"ACEDESK3","sjones","Full globe rendering requires that the graphics card have at least two texture units; only a single base texture will be rendered"
3,"MsgWnd",0,"",0,11/17/2017 15:57:29,"ACEDESK3","sjones","Analysis Workbench license required to load custom time, calculation, vector geometry, or spatial components. Custom components ignored for CertAircraft."
2,"Default",0,"agve3d.cpp",459,11/17/2017 16:04:49,"ACEDESK3","sjones","Model Space\satellite.dae may cause performance issues due to an older video card. Using low-res default model."
2,"Default",0,"agve3d.cpp",459,11/17/2017 16:04:50,"ACEDESK3","sjones","Model Space\satellite.dae may cause performance issues due to an older video card. Using low-res default model."
2,"Default",0,"agve3d.cpp",459,11/17/2017 16:04:50,"ACEDESK3","sjones","Model Space\satellite.dae may cause performance issues due to an older video card. Using low-res default model."
2,"Default",0,"agve3d.cpp",459,11/17/2017 16:04:50,"ACEDESK3","sjones","Model Space\satellite.dae may cause performance issues due to an older video card. Using low-res default model."
2,"Default",0,"agve3d.cpp",459,11/17/2017 16:04:50,"ACEDESK3","sjones","Model Space\satellite.dae may cause performance issues due to an older video card. Using low-res default model."
2,"Default",0,"agve3d.cpp",459,11/17/2017 16:04:50,"ACEDESK3","sjones","Model Space\satellite.dae may cause performance issues due to an older video card. Using low-res default model."
2,"Default",0,"agve3d.cpp",459,11/17/2017 16:04:50,"ACEDESK3","sjones","Model Space\satellite.dae may cause performance issues due to an older video card. Using low-res default model."
2,"Default",0,"agve3d.cpp",459,11/17/2017 16:04:50,"ACEDESK3","sjones","Model Space\satellite.dae may cause performance issues due to an older video card. Using low-res default model."
2,"Default",0,"agve3d.cpp",459,11/17/2017 16:04:50,"ACEDESK3","sjones","Model Space\satellite.dae may cause performance issues due to an older video card. Using low-res default model."
2,"Default",0,"agve3d.cpp",459,11/17/2017 16:04:50,"ACEDESK3","sjones","Model Space\satellite.dae may cause performance issues due to an older video card. Using low-res default model."
2,"Default",0,"agve3d.cpp",459,11/17/2017 16:04:50,"ACEDESK3","sjones","Model Space\satellite.dae may cause performance issues due to an older video card. Using low-res default model."
2,"Default",0,"agve3d.cpp",459,11/17/2017 16:04:50,"ACEDESK3","sjones","Model Space\satellite.dae may cause performance issues due to an older video card. Using low-res default model."
2,"Default",0,"agve3d.cpp",459,11/17/2017 16:04:50,"ACEDESK3","sjones","Model Space\satellite.dae may cause performance issues due to an older video card. Using low-res default model."
2,"Default",0,"agve3d.cpp",459,11/17/2017 16:04:50,"ACEDESK3","sjones","Model Space\satellite.dae may cause performance issues due to an older video card. Using low-res default model."
2,"Default",0,"agve3d.cpp",459,11/17/2017 16:04:50,"ACEDESK3","sjones","Model Space\satellite.dae may cause performance issues due to an older video card. Using low-res default model."
2,"Default",0,"agve3d.cpp",459,11/17/2017 16:04:50,"ACEDESK3","sjones","Model Space\satellite.dae may cause performance issues due to an older video card. Using low-res default model."
2,"Default",0,"agve3d.cpp",459,11/17/2017 16:04:50,"ACEDESK3","sjones","Model Space\satellite.dae may cause performance issues due to an older video card. Using low-res default model."
2,"Default",0,"agve3d.cpp",459,11/17/2017 16:04:50,"ACEDESK3","sjones","Model Space\satellite.dae may cause performance issues due to an older video card. Using low-res default model."
2,"Default",0,"agve3d.cpp",459,11/17/2017 16:04:50,"ACEDESK3","sjones","Model Space\satellite.dae may cause performance issues due to an older video card. Using low-res default model."
2,"Default",0,"agve3d.cpp",459,11/17/2017 16:04:50,"ACEDESK3","sjones","Model Space\satellite.dae may cause performance issues due to an older video card. Using low-res default model."
2,"Default",0,"agve3d.cpp",459,11/17/2017 16:04:50,"ACEDESK3","sjones","Model Space\satellite.dae may cause performance issues due to an older video card. Using low-res default model."
2,"Default",0,"agve3d.cpp",459,11/17/2017 16:04:50,"ACEDESK3","sjones","Model Space\satellite.dae may cause performance issues due to an older video card. Using low-res default model."
2,"Default",0,"agve3d.cpp",459,11/17/2017 16:04:50,"ACEDESK3","sjones","Model Space\satellite.dae may cause performance issues due to an older video card. Using low-res default model."
2,"Default",0,"agve3d.cpp",459,11/17/2017 16:04:50,"ACEDESK3","sjones","Model Space\satellite.dae may cause performance issues due to an older video card. Using low-res default model."
2,"Default",0,"agve3d.cpp",459,11/17/2017 16:04:50,"ACEDESK3","sjones","Model Space\satellite.dae may cause performance issues due to an older video card. Using low-res default model."
2,"Default",0,"agve3d.cpp",459,11/17/2017 16:04:50,"ACEDESK3","sjones","Model Space\satellite.dae may cause performance issues due to an older video card. Using low-res default model."
