"Time (EpSec)","Lat (deg)","Lon (deg)","Alt (km)","Azimuth (deg)","Elevation (deg)","Velocity (km/sec)"
0.000,-12.161,-76.999,3.048000,156.715,0.000,0.180056
282.084,-12.582,-76.814,3.048000,156.675,0.000,0.180056
564.167,-13.003,-76.629,3.048000,156.635,-0.000,0.180056
846.249,-13.425,-76.443,3.048000,156.592,-0.000,0.180056
1128.322,-13.846,-76.256,3.048000,155.549,0.000,0.180056
1128.516,-13.846,-76.256,3.048000,154.549,-0.000,0.180056
1128.710,-13.846,-76.256,3.048000,152.549,-0.000,0.180056
1128.904,-13.847,-76.256,3.048000,150.549,0.000,0.180056
1129.098,-13.847,-76.256,3.048000,148.548,0.000,0.180056
1129.292,-13.847,-76.256,3.048000,146.548,0.000,0.180056
1129.485,-13.847,-76.256,3.048000,144.548,0.000,0.180056
1129.679,-13.848,-76.255,3.048000,142.548,-0.000,0.180056
1129.873,-13.848,-76.255,3.048000,140.548,0.000,0.180056
1130.067,-13.848,-76.255,3.048000,138.548,-0.000,0.180056
1130.261,-13.848,-76.255,3.048000,136.548,0.000,0.180056
1130.455,-13.849,-76.254,3.048000,134.548,0.000,0.180056
1130.649,-13.849,-76.254,3.048000,132.548,-0.000,0.180056
1130.842,-13.849,-76.254,3.048000,130.548,0.000,0.180056
1131.036,-13.849,-76.254,3.048000,128.548,-0.000,0.180056
1131.230,-13.849,-76.254,3.048000,126.548,-0.000,0.180056
1131.424,-13.850,-76.253,3.048000,124.548,0.000,0.180056
1131.618,-13.850,-76.253,3.048000,122.548,-0.000,0.180056
1131.812,-13.850,-76.253,3.048000,120.548,0.000,0.180056
1132.006,-13.850,-76.252,3.048000,118.548,0.000,0.180056
1132.199,-13.850,-76.252,3.048000,116.548,-0.000,0.180056
1132.393,-13.850,-76.252,3.048000,114.548,-0.000,0.180056
1132.561,-13.850,-76.252,3.048000,112.813,0.000,0.180056
1453.783,-14.053,-75.758,3.048000,111.695,-0.000,0.180056
1453.977,-14.053,-75.758,3.048000,110.695,0.000,0.180056
1454.171,-14.053,-75.758,3.048000,108.694,-0.000,0.180056
1454.365,-14.053,-75.757,3.048000,106.694,0.000,0.180056
1454.559,-14.053,-75.757,3.048000,104.694,-0.000,0.180056
1454.752,-14.053,-75.757,3.048000,102.694,0.000,0.180056
1454.946,-14.053,-75.756,3.048000,100.694,0.000,0.180056
1455.140,-14.053,-75.756,3.048000,98.694,0.000,0.180056
1455.334,-14.053,-75.756,3.048000,96.694,-0.000,0.180056
1455.528,-14.053,-75.755,3.048000,94.694,-0.000,0.180056
1455.722,-14.053,-75.755,3.048000,92.694,-0.000,0.180056
1455.916,-14.053,-75.755,3.048000,90.694,0.000,0.180056
1456.109,-14.053,-75.754,3.048000,88.694,-0.000,0.180056
1456.303,-14.053,-75.754,3.048000,86.694,0.000,0.180056
1456.497,-14.053,-75.754,3.048000,84.694,-0.000,0.180056
1456.691,-14.053,-75.753,3.048000,82.693,0.000,0.180056
1456.885,-14.053,-75.753,3.048000,80.693,-0.000,0.180056
1457.079,-14.053,-75.753,3.048000,78.693,0.000,0.180056
1457.273,-14.053,-75.753,3.048000,76.693,0.000,0.180056
1457.466,-14.053,-75.752,3.048000,74.693,-0.000,0.180056
1457.660,-14.053,-75.752,3.048000,72.693,0.000,0.180056
1457.854,-14.053,-75.752,3.048000,70.693,0.000,0.180056
1458.048,-14.053,-75.751,3.048000,68.693,-0.000,0.180056
